name,description,price,image_url,is_hot,views,category_id
Chickpea Salad,A ready-to-eat salad made with chickpeas and veggies.,5.49,https://jiathis.com/plurimum/et/cum/multi.yml?ulla,1,8812,Food - Prepared Foods
Smart Thermostat,Wi-Fi enabled thermostat for energy-saving temperature control.,149.99,https://cafepress.com/ipso/propter.xml?probarem&quid&igitur&est&inquit,0,3084,Smart Home
Organic Green Apples,"Fresh and tart organic green apples, great for snacking or baking.",1.49,https://google.com.br/nam/et/praeterita/prorsus.php?existimare,0,8428,Food - Produce
Potting Soil,Premium potting soil for indoor plants.,15.99,https://youku.com/nihil/tranquilli/potest/quodsi/quid.ods?depravata&desiderat,1,2999,Garden
Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,89.99,https://odnoklassniki.ru/ad/eam/delectari.pfx?sunt&qua,0,9074,Office
Fettuccine Alfredo Dinner Kit,Easy meal kit for creamy fettuccine Alfredo.,5.49,https://ning.com/quae/enim.mshxml?consistat&tamquam,1,328,Food - Prepared Meals
Tennis Racket,Lightweight tennis racket for beginners and advanced players.,89.99,https://php.net/te/ipso/id/fatemur.psm1?potest&perspici,1,2092,Fitness
Smart Scale,Wi-Fi smart scale for tracking weight and BMI.,59.99,https://harvard.edu/minus/ita/effici/complexiones/et/sitne.p12?cum,0,428,Health
Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,5.99,https://theatlantic.com/ut/sapiens/solum/amputata/circumcisaque/aut.html,1,6611,Food - Beverages
Baked Falafel Balls,"Frozen falafel balls made from chickpeas and herbs, perfect for quick meals or salads.",5.99,http://thetimes.co.uk/honestum/non/tam/id/omnia.img?molestiae&consecutionem&affert&voluptatis,0,2340,Food - Frozen Vegetables
Raspberry Limeade,Sweet and tangy raspberry lime beverage,1.99,http://gnu.org/oportere/nimium/nos/causae/mihi.htm?ei,0,4472,Food - Beverages
Rainbow Veggie Chips,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",3.29,https://state.tx.us/pacto/potest/ut/non/inquit.md?duxit&nisi,1,378,Food - Snacks
Fleece Throw Blanket,"Super soft fleece blanket, perfect for coziness.",29.99,https://cbsnews.com/quod/summum/bonum/et.cfg?et&legimus&libenter,0,2823,Home
Roasted Garlic Butter,A flavorful spread made with roasted garlic and creamy butter.,3.29,https://so-net.ne.jp/eum/in.rtf?numquid&tibi,0,2470,Food - Condiments
Cinnamon Sugar Tortilla Chips,"Crispy chips with a sweet twist, perfect for dipping.",3.29,https://blogger.com/a/libidinum/impetu/eum.mp4,0,9280,Food - Snacks
Almond Butter Crunch Bar,Nutritious snack bar made with almond butter and protein.,1.99,http://upenn.edu/a/dolore/corporis/praesenti/fuisse.sql?esse,0,3880,Food - Snacks
Bluetooth Tracker,Smart tracker to locate keys or other items via app.,19.99,https://goodreads.com/sit/in.tar,0,9800,Accessories
Inflatable Pool Float,Fun inflatable float for lounging in the pool or beach.,29.99,https://nps.gov/ne/deterruisset/alios/a/studiis/esse.iso,1,3799,Outdoor
Pet Bed with Removable Cover,Comfy pet bed with washable cover for easy cleaning.,49.99,https://omniture.com/dicantur/cur/autem.desktop?patriam&plerique&autem&se&ipsos,0,2625,Pets
Chunky Knit Sweater,Cozy oversized sweater perfect for chilly days with a textured knit design.,59.99,https://yelp.com/graeci/leguntur/molestum.scf?ab,1,9523,Clothing - Tops
Magnetic Whiteboard,Reusable whiteboard for notes and reminders with magnetic backing.,34.99,https://tinyurl.com/et/corporis/finxerat.cmd?locum,0,5367,Office
Gardening Gloves with Claws,Durable gloves with built-in claws for digging and planting.,24.99,https://sourceforge.net/defensa/est/epicuri/sententia/admonitionem.pssc?atque&ad,1,1560,Garden
BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",3.49,https://mac.com/honesta/quae/sint/ea/facere/et.cmd,1,2474,Food - Condiments
Coloring Books for Adults,Intricate designs for adults to relax and unwind.,14.99,https://sogou.com/esse/prosperum/nisi/hunc.bin?et&cognitio&rerum&quod&minime,1,4269,Books
Portable Massage Gun,Personal massager for muscle recovery.,79.99,https://bravesites.com/nec/voluptas/in/bonis/magnosque.pub?existimo&te&sicut,1,2218,Health
Handmade Leather Wallet,High-quality leather wallet with multiple compartments.,49.99,https://bloomberg.com/laudatur/sic/sapientia/quae/ars/rerum.ods,0,2506,Accessories
Mediterranean Couscous Salad,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5.49,https://pagesperso-orange.fr/est/igitur/voluptas/bonum/hoc/enim.pub,0,1208,Food - Salads
Summer Tank Dress,"A lightweight tank dress, ideal for warm weather outings.",39.99,https://fotki.com/delectant/firmam.tsv?assidua&recordatione,0,9511,Clothing - Dresses
